transaction_id,product_id,product_name,category,price,discount_percent,actual_price,quantity,total_amount,seller_name,seller_location,sale_date,sale_month,day_of_week
TRX000001,UMKM00058,Keramik Kasongan,Kerajinan Tangan,311099,5,295544,2,591088,CV Sentosa 17,Surabaya,2025-10-14,2025-10,Tuesday
TRX000002,UMKM00024,Topi Anyaman,Fashion & Pakaian,171166,20,136932,3,410798,CV Prima 28,Bandung,2025-11-03,2025-11,Monday
TRX000003,UMKM00063,Pupuk Organik,Pertanian,176015,5,167214,8,1337714,Toko Sukses 28,Medan,2025-12-27,2025-12,Saturday
TRX000004,UMKM00011,Gula Aren,Makanan & Minuman,42748,0,42748,16,683968,UD Makmur 16,Depok,2025-12-22,2025-12,Monday
TRX000005,UMKM00052,Ukiran Kayu,Kerajinan Tangan,213174,0,213174,2,426348,UD Mandiri 67,Bandung,2025-10-07,2025-10,Tuesday
TRX000006,UMKM00014,Ikan Asin,Makanan & Minuman,67877,25,50907,10,509077,Rumah Maju 82,Yogyakarta,2025-11-24,2025-11,Monday
TRX000007,UMKM00045,Rak Bambu,Rumah Tangga,68224,15,57990,4,231961,Rumah Barokah 17,Tangerang,2025-11-02,2025-11,Sunday
TRX000008,UMKM00007,Kue Lapis,Makanan & Minuman,18972,0,18972,12,227664,Kedai Abadi 12,Tangerang,2026-01-02,2026-01,Friday
TRX000009,UMKM00071,Cuci Motor,Jasa,112745,15,95833,8,766666,CV Barokah 2,Makassar,2025-12-23,2025-12,Tuesday
TRX000010,UMKM00019,Tas Anyaman,Fashion & Pakaian,109622,25,82216,1,82216,Kedai Mandiri 74,Medan,2025-11-14,2025-11,Friday
TRX000011,UMKM00013,Abon Sapi,Makanan & Minuman,64359,10,57923,7,405461,CV Jaya 21,Malang,2025-11-11,2025-11,Tuesday
TRX000012,UMKM00034,Holder HP,Elektronik,299096,15,254231,4,1016926,CV Sentosa 78,Jakarta Pusat,2025-12-04,2025-12,Thursday
TRX000013,UMKM00063,Pupuk Organik,Pertanian,176015,15,149612,5,748063,Toko Sukses 28,Medan,2025-10-29,2025-10,Wednesday
TRX000014,UMKM00032,Kipas Mini,Elektronik,453962,20,363169,2,726339,Rumah Barokah 30,Tangerang,2025-11-04,2025-11,Tuesday
TRX000015,UMKM00025,Gelang Etnik,Fashion & Pakaian,180049,0,180049,5,900245,Warung Sejahtera 27,Makassar,2026-01-03,2026-01,Saturday
TRX000016,UMKM00014,Ikan Asin,Makanan & Minuman,67877,5,64483,10,644831,Rumah Maju 82,Yogyakarta,2025-11-30,2025-11,Sunday
TRX000017,UMKM00045,Rak Bambu,Rumah Tangga,68224,0,68224,7,477568,Rumah Barokah 17,Tangerang,2025-12-05,2025-12,Friday
TRX000018,UMKM00005,Dodol Garut,Makanan & Minuman,25950,10,23355,4,93420,Kedai Maju 54,Depok,2025-12-11,2025-12,Thursday
TRX000019,UMKM00030,Powerbank Lokal,Elektronik,363722,25,272791,3,818374,Kedai Jaya 68,Malang,2025-10-09,2025-10,Thursday
TRX000020,UMKM00021,Kaos Distro,Fashion & Pakaian,473857,0,473857,3,1421571,Rumah Prima 51,Makassar,2025-10-11,2025-10,Saturday
TRX000021,UMKM00025,Gelang Etnik,Fashion & Pakaian,180049,20,144039,1,144039,Warung Sejahtera 27,Makassar,2025-11-27,2025-11,Thursday
TRX000022,UMKM00011,Gula Aren,Makanan & Minuman,42748,25,32061,19,609159,UD Makmur 16,Depok,2025-11-30,2025-11,Sunday
TRX000023,UMKM00072,Potong Rambut,Jasa,158921,20,127136,8,1017094,Kedai Barokah 46,Yogyakarta,2025-12-20,2025-12,Saturday
